UID,2020/9/15,2020/9/16,Equal
002043.SZ,10.86,10.86,TRUE
002044.SZ,15.47,15.47,TRUE
002045.SZ,8.82,8.82,TRUE
002046.SZ,8.6,8.6,TRUE
002047.SZ,4.63,4.63,TRUE
002048.SZ,17.74,17.74,TRUE
002049.SZ,113.92,113.92,TRUE
002050.SZ,21.45,21.45,TRUE
002051.SZ,7.49,7.49,TRUE
002052.SZ,1.42,1.42,TRUE
002053.SZ,8.02,8.02,TRUE
002054.SZ,7.59,7.59,TRUE
002055.SZ,17.3,17.3,TRUE
002056.SZ,13.4,13.4,TRUE
002057.SZ,7.43,7.43,TRUE
002058.SZ,15.93,15.93,TRUE
002059.SZ,6.3,6.3,TRUE
002060.SZ,3.2,3.2,TRUE
002061.SZ,5.76,5.76,TRUE
002062.SZ,4.73,4.73,TRUE
002063.SZ,9.45,9.45,TRUE
002064.SZ,7.87,7.87,TRUE
002065.SZ,10.92,10.92,TRUE
002066.SZ,10.03,10.03,TRUE
002067.SZ,3.68,3.68,TRUE
002068.SZ,4.82,4.82,TRUE
002069.SZ,3.78,3.78,TRUE
002071.SZ,1.63,1.63,TRUE
002072.SZ,5.01,5.01,TRUE
002073.SZ,4.45,4.45,TRUE
002074.SZ,22.78,22.78,TRUE
002075.SZ,13.2,13.2,TRUE
002076.SZ,1.94,1.94,TRUE
002077.SZ,6.34,6.34,TRUE
002078.SZ,14.08,14.08,TRUE
002079.SZ,10.67,10.67,TRUE
002080.SZ,19.15,19.15,TRUE
002081.SZ,10.9,10.9,TRUE
002082.SZ,14.24,14.24,TRUE
002083.SZ,5.06,5.06,TRUE
002084.SZ,10.89,10.89,TRUE
002085.SZ,6.71,6.71,TRUE
002086.SZ,1.71,1.71,TRUE
002087.SZ,3.98,3.98,TRUE
002088.SZ,9.86,9.86,TRUE
002089.SZ,2.99,2.99,TRUE
002090.SZ,8.65,8.65,TRUE
002091.SZ,6.09,6.09,TRUE
002092.SZ,5.18,5.18,TRUE
002093.SZ,8.47,8.47,TRUE
002094.SZ,4.36,4.36,TRUE
002095.SZ,19.84,19.84,TRUE
002096.SZ,8.52,8.52,TRUE
002097.SZ,9.03,9.03,TRUE
002098.SZ,5.49,5.49,TRUE
002099.SZ,8,8,TRUE
002100.SZ,14.99,14.99,TRUE
002101.SZ,7.11,7.11,TRUE
002102.SZ,1.86,1.86,TRUE
002103.SZ,5.37,5.37,TRUE
002104.SZ,8.9,8.9,TRUE
002105.SZ,7.71,7.71,TRUE
002106.SZ,13.97,13.97,TRUE
002107.SZ,9.51,9.51,TRUE
002108.SZ,5.14,5.14,TRUE
002109.SZ,3.37,3.37,TRUE
002110.SZ,6.88,6.88,TRUE
002111.SZ,15.52,15.52,TRUE
002112.SZ,8.56,8.56,TRUE
002113.SZ,1.37,1.37,TRUE
002114.SZ,6.1,6.1,TRUE
002115.SZ,8.06,8.06,TRUE
002116.SZ,7.14,7.14,TRUE
002117.SZ,11.15,11.15,TRUE
002118.SZ,4.09,4.09,TRUE
002119.SZ,12.3,12.3,TRUE
002120.SZ,18.36,18.36,TRUE
002121.SZ,3.75,3.75,TRUE
002122.SZ,2.31,2.31,TRUE
002123.SZ,17.53,17.53,TRUE
002124.SZ,16.45,16.45,TRUE
002125.SZ,7.33,7.33,TRUE
002126.SZ,12.73,12.73,TRUE
002127.SZ,18.76,18.76,TRUE
002128.SZ,9.74,9.74,TRUE
002129.SZ,21.83,21.83,TRUE
002130.SZ,5.21,5.21,TRUE
002131.SZ,3.07,3.07,TRUE
002132.SZ,2.85,2.85,TRUE
002133.SZ,3.23,3.23,TRUE
002134.SZ,9.38,9.38,TRUE
002135.SZ,7.72,7.72,TRUE
002136.SZ,9.78,9.78,TRUE
002137.SZ,7.85,7.85,TRUE
002138.SZ,22.25,22.25,TRUE
002139.SZ,7.04,7.04,TRUE
002140.SZ,7.17,7.17,TRUE
002141.SZ,3.32,3.32,TRUE
002142.SZ,32.86,32.86,TRUE
002144.SZ,11.09,11.09,TRUE
002145.SZ,5.62,5.62,TRUE
002146.SZ,7.93,7.93,TRUE
002147.SZ,1.61,1.61,TRUE
002148.SZ,5.19,5.19,TRUE
002149.SZ,8.3,8.3,TRUE
002150.SZ,6.74,6.74,TRUE
002151.SZ,52.69,52.69,TRUE
002152.SZ,12.9,12.9,TRUE
002153.SZ,36.61,36.61,TRUE
002154.SZ,3.57,3.57,TRUE
002155.SZ,9.37,9.37,TRUE
002156.SZ,22.27,22.27,TRUE
002157.SZ,19.07,19.07,TRUE
002158.SZ,12.53,12.53,TRUE
002159.SZ,12.49,12.49,TRUE
002160.SZ,4.24,4.24,TRUE
002161.SZ,7.16,7.16,TRUE
002162.SZ,3.56,3.56,TRUE
002163.SZ,16.5,16.5,TRUE
002164.SZ,5.34,5.34,TRUE
